['509', 'Armitage', '1', '20210510 07:41:36']
['510', 'Quincy', '5', '20210510 07:41:39']
['511', 'State/Lake', '5', '20210510 07:41:38']
['513', 'Wilson', '5', '20210510 07:41:32']
['503', 'Wellington', '5', '20210510 07:42:34']
['504', 'Central', '5', '20210510 07:42:18']
['506', 'Central', '1', '20210510 07:42:38']
['510', 'Quincy', '5', '20210510 07:42:34']
['511', 'Washington/Wabash', '5', '20210510 07:42:40']
['512', 'Chicago', '5', '20210510 07:42:34']
['513', 'Wilson', '5', '20210510 07:42:04']
['514', 'Main', '5', '20210510 07:42:31']
['503', 'Diversey', '5', '20210510 07:43:26']
['509', 'Fullerton', '1', '20210510 07:43:38']
['510', 'Washington/Wells', '5', '20210510 07:43:05']
['511', 'Adams/Wabash', '5', '20210510 07:43:35']
['512', 'Chicago', '5', '20210510 07:43:26']
['513', 'Wilson', '5', '20210510 07:43:34']
['514', 'Main', '5', '20210510 07:43:34']
['506', 'Linden', '1', '20210510 07:44:21']
['511', 'Adams/Wabash', '5', '20210510 07:44:33']
['514', 'South Boulevard', '5', '20210510 07:44:26']
['503', 'Fullerton', '5', '20210510 07:45:37']
['504', 'Davis', '5', '20210510 07:45:30']
['509', 'Diversey', '1', '20210510 07:45:27']
['511', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:45:26']
['512', 'Merchandise Mart', '5', '20210510 07:45:39']
['513', 'Sheridan', '5', '20210510 07:45:09']
['514', 'Howard', '5', '20210510 07:45:03']
['503', 'Armitage', '5', '20210510 07:46:38']
['504', 'Davis', '5', '20210510 07:46:24']
['510', 'Merchandise Mart', '1', '20210510 07:46:10']
['511', 'Harold Washington Library-State/Van Buren', '5', '20210510 07:46:39']
['504', 'Davis', '5', '20210510 07:47:29']
['509', 'Wellington', '1', '20210510 07:47:39']
['511', 'LaSalle/Van Buren', '5', '20210510 07:47:31']
['510', 'Chicago', '1', '20210510 07:48:36']
['511', 'LaSalle/Van Buren', '5', '20210510 07:48:34']
['512', 'Clark/Lake', '5', '20210510 07:48:37']
['513', 'Belmont', '5', '20210510 07:48:38']
['504', 'Main', '5', '20210510 07:49:21']
['511', 'Quincy', '5', '20210510 07:49:33']
['512', 'State/Lake', '5', '20210510 07:49:35']
['513', 'Wellington', '5', '20210510 07:49:02']
['503', 'Sedgwick', '5', '20210510 07:50:12']
['504', 'Main', '5', '20210510 07:50:27']
['511', 'Washington/Wells', '5', '20210510 07:50:29']
['512', 'Washington/Wabash', '5', '20210510 07:50:31']
['513', 'Diversey', '5', '20210510 07:50:36']
['515', 'Central', '5', '20210510 07:50:37']
