['502', 'Linden', '0', '1', '20210514 06:45:18']
['503', 'Howard', '0', '1', '20210514 06:45:13']
['504', 'Sedgwick', '0', '1', '20210514 06:46:02']
['506', 'Chicago', '1', '5', '20210514 06:44:32']
['508', 'Belmont', '0', '5', '20210514 06:45:32']
['509', 'Howard', '1', '5', '20210514 06:43:52']
['501', 'Diversey', '0', '1', '20210514 06:45:53']
['502', 'Linden', '0', '1', '20210514 06:45:18']
['503', 'Howard', '0', '1', '20210514 06:45:13']
['504', 'Sedgwick', '0', '1', '20210514 06:46:25']
['506', 'Chicago', '1', '5', '20210514 06:45:28']
['508', 'Belmont', '1', '5', '20210514 06:45:36']
['509', 'Wilson', '0', '5', '20210514 06:52:26']
['501', 'Diversey', '1', '1', '20210514 06:46:20']
['502', 'Linden', '1', '1', '20210514 06:45:47']
['503', 'Howard', '0', '1', '20210514 06:45:13']
['504', 'Sedgwick', '1', '1', '20210514 06:46:37']
['506', 'Merchandise Mart', '0', '5', '20210514 06:47:17']
['508', 'Wellington', '1', '5', '20210514 06:46:04']
['509', 'Wilson', '0', '5', '20210514 06:52:26']
['510', 'Central', '1', '5', '20210514 06:46:15']
['501', 'Wellington', '1', '1', '20210514 06:47:07']
['503', 'Howard', '0', '1', '20210514 06:45:13']
['504', 'Armitage', '0', '1', '20210514 06:49:17']
['506', 'Merchandise Mart', '1', '5', '20210514 06:47:11']
['508', 'Diversey', '1', '5', '20210514 06:47:35']
['509', 'Wilson', '0', '5', '20210514 06:52:26']
['510', 'Central', '1', '5', '20210514 06:47:03']
['501', 'Wellington', '1', '1', '20210514 06:48:38']
['503', 'Howard', '0', '1', '20210514 06:45:13']
['504', 'Armitage', '0', '1', '20210514 06:49:25']
['506', 'Clark/Lake', '0', '5', '20210514 06:49:14']
['508', 'Diversey', '1', '5', '20210514 06:48:28']
['509', 'Wilson', '0', '5', '20210514 06:53:07']
['510', 'Noyes', '0', '5', '20210514 06:48:52']
['503', 'Main', '1', '1', '20210514 06:49:37']
['504', 'Armitage', '1', '1', '20210514 06:49:23']
['506', 'Clark/Lake', '1', '5', '20210514 06:49:36']
['508', 'Fullerton', '1', '5', '20210514 06:49:16']
['509', 'Wilson', '0', '5', '20210514 06:53:25']
['510', 'Davis', '1', '5', '20210514 06:49:19']
['503', 'Main', '1', '1', '20210514 06:49:37']
['504', 'Armitage', '1', '1', '20210514 06:50:28']
