'502', 'Belmont', '5', '20210423 08:09:28'
'503', 'Merchandise Mart', '1', '20210423 08:09:37'
'506', 'Central', '5', '20210423 08:08:59'
'507', 'Linden', '1', '20210423 08:08:52'
'508', 'Wellington', '1', '20210423 08:09:34'
'502', 'Wellington', '5', '20210423 08:10:32'
'503', 'Merchandise Mart', '1', '20210423 08:09:46'
'507', 'Linden', '1', '20210423 08:10:09'
'508', 'Wellington', '1', '20210423 08:10:22'
'502', 'Diversey', '5', '20210423 08:11:25'
'506', 'Davis', '5', '20210423 08:11:11'
'508', 'Belmont', '1', '20210423 08:11:08'
'512', 'Chicago', '5', '20210423 08:11:39'
'506', 'Davis', '5', '20210423 08:12:17'
'512', 'Chicago', '5', '20210423 08:11:39'
'502', 'Fullerton', '5', '20210423 08:13:35'
'503', 'Chicago', '1', '20210423 08:13:13'
'506', 'Davis', '5', '20210423 08:13:07'
'512', 'Chicago', '5', '20210423 08:11:39'
'506', 'Dempster', '5', '20210423 08:14:38'
'509', 'Sedgwick', '1', '20210423 08:14:31'
'512', 'Chicago', '5', '20210423 08:11:39'
'503', 'Sedgwick', '1', '20210423 08:15:35'
'506', 'Dempster', '5', '20210423 08:14:38'
'512', 'Chicago', '5', '20210423 08:11:39'
'509', 'Fullerton', '1', '20210423 08:16:33'
'512', 'Clark/Lake', '5', '20210423 08:16:25'
'514', 'Wilson', '5', '20210423 08:16:23'
'506', 'South Boulevard', '5', '20210423 08:17:36'
'512', 'State/Lake', '5', '20210423 08:17:36'
'502', 'Sedgwick', '5', '20210423 08:18:17'
'503', 'Armitage', '1', '20210423 08:18:30'
'506', 'South Boulevard', '5', '20210423 08:18:07'
'509', 'Diversey', '1', '20210423 08:18:34'
'512', 'Washington/Wabash', '5', '20210423 08:18:25'
'506', 'Howard', '5', '20210423 08:18:52'
'508', 'Wilson', '1', '20210423 08:19:28'
'509', 'Diversey', '1', '20210423 08:19:24'
'512', 'Adams/Wabash', '5', '20210423 08:19:15'
'503', 'Fullerton', '1', '20210423 08:20:34'
'504', 'Central', '5', '20210423 08:19:59'
'509', 'Wellington', '1', '20210423 08:20:34'
'512', 'Harold Washington Library-State/Van Buren', '5', '20210423 08:20:38'
'502', 'Chicago', '5', '20210423 08:21:39'
